weight of each of the fruit (grams),"Size of each of
the fruit (cm)",Type of Fruit
69,4.39,orange
69,4.21,orange
65,4.09,orange
72,5.85,apple
67,4.7,orange
73,5.68,apple
70,5.56,apple
75,5.11,apple
74,5.36,apple
65,4.27,orange
73,5.79,apple
70,5.47,apple
74,5.53,apple
68,4.47,orange
74,5.22,apple
65,4.48,orange
69,4.66,orange
75,5.25,apple
67,4.18,orange
74,5.5,apple
66,4.13,orange
70,4.83,orange
69,4.61,orange
68,4.08,orange
67,4.25,orange
71,5.35,apple
67,4.01,orange
70,4.22,orange
74,5.25,apple
71,5.26,apple
73,5.78,apple
66,4.68,orange
72,5.72,apple
73,5.17,apple
68,4.83,orange
69,4.11,orange
69,4.76,orange
74,5.48,apple
70,5.59,apple
73,5.03,apple
